PMCTS full,PMCTS Playout,MCTS full play,MCTS Playout,AB full play,MC vs PMC,PMC vs AB,MC vs AB,Playouts,Language
0.112278436,7.60E-05,NA,NA,0.009864338,NA,AB,NA,5,Julia
0.111164384,7.51E-05,NA,NA,0.010135618,NA,AB,NA,5,Julia
0.109967397,7.40E-05,NA,NA,0.010458801,NA,AB,NA,5,Julia
0.12739001,8.79E-05,NA,NA,0.002310802,NA,PMC,NA,5,Julia
0.125056355,8.62E-05,NA,NA,0.002321814,NA,PMC,NA,5,Julia
0.113798347,9.18E-05,NA,NA,0.002099333,NA,PMC,NA,5,Julia
0.113904638,9.17E-05,NA,NA,0.002138538,NA,PMC,NA,5,Julia
0.10113028,9.31E-05,NA,NA,0.00605695,NA,AB,NA,5,Julia
0.100342844,9.33E-05,NA,NA,0.00620148,NA,AB,NA,5,Julia
0.143471767,9.82E-05,NA,NA,0.003838901,NA,AB,NA,5,Julia
